Name,Team,POS,Salary
Jason Kelce,PHI,C,"$6,000,000"
Brandon Carr,BAL,CB,"$6,000,000"
Tony Jefferson,BAL,SS,"$6,000,000"
Duke Johnson,CLE,RB,"$5,967,000"
Zach Brown,WAS,ILB,"$5,953,125"
Thomas Morstead,NO,P,"$5,950,000"
Taven Bryan,JAC,DT,"$5,945,424"
Nigel Bradham,PHI,OLB,"$5,941,176"
Adrian Clayborn,NE,DE,"$5,937,500"
Danny Trevathan,CHI,ILB,"$5,900,000"
Kareem Martin,NYG,OLB,"$5,850,000"
John Cyprien,TEN,SS,"$5,812,500"
Ryan Succop,TEN,K,"$5,750,000"
Travis Benjamin,LAC,WR,"$5,750,000"
Mike Hughes,MIN,CB,"$5,736,352"
James Hurst,BAL,RT,"$5,705,882"
Lamar Miller,HOU,RB,"$5,703,125"
Jared Cook,OAK,TE,"$5,675,000"
Michael Bennett,PHI,DE,"$5,650,000"
Jaquiski Tartt,SF,SS,"$5,621,865"
Sony Michel,NE,RB,"$5,561,233"
Jermaine Kearse,NYJ,WR,"$5,550,000"
Kyle Williams,BUF,DT,"$5,500,000"
Cody Parkey,CHI,K,"$5,500,000"
Quandre Diggs,DET,SS,"$5,500,000"
Senio Kelemete,HOU,G,"$5,500,000"
Johnathan Joseph,HOU,CB,"$5,487,500"
Jermaine Gresham,ARI,TE,"$5,468,750"
Lamar Jackson,BAL,QB,"$5,448,471"
Rashaan Melvin,OAK,CB,"$5,437,500"
Patrick Chung,NE,SS,"$5,400,000"
Adam Thielen,MIN,WR,"$5,350,000"
Jack Doyle,IND,TE,"$5,337,500"
J.C. Tretter,CLE,C,"$5,250,000"
Tramon Williams,GB,CB,"$5,250,000"
Whitney Mercilus,HOU,OLB,"$5,250,000"
Morgan Burnett,PIT,SS,"$5,250,000"
Nickell Robey-Coleman,LAR,CB,"$5,250,000"
Ryan Schraeder,ATL,RT,"$5,200,000"
Micah Hyde,BUF,SS,"$5,200,000"
Nevin Lawson,DET,CB,"$5,050,000"
Brandon Marshall,DEN,ILB,"$5,021,887"
Christian Kirksey,CLE,OLB,"$5,000,000"
Darren Fells,CLE,TE,"$5,000,000"
Chris Smith,CLE,DE,"$5,000,000"
Daniel Kilgore,MIA,C,"$5,000,000"
Ryan Grant,IND,WR,"$5,000,000"
Cameron Erving,KC,G,"$5,000,000"
Charles Leno,CHI,LT,"$5,000,000"
Jahleel Addae,LAC,SS,"$5,000,000"
Mike Iupati,ARI,G,"$5,000,000"
Beau Allen,TB,DT,"$5,000,000"
Preston Brown,CIN,ILB,"$5,000,000"
Teddy Bridgewater,NO,QB,"$5,000,000"
Mike Glennon,ARI,QB,"$5,000,000"
Julius Peppers,CAR,DE,"$5,000,000"
Torrey Smith,CAR,WR,"$5,000,000"
John Brown,BAL,WR,"$5,000,000"
Jermey Parnell,JAC,RT,"$5,000,000"
Rob Havenstein,LAR,RT,"$4,976,367"
Clint Boling,CIN,G,"$4,950,000"
Glover Quin,DET,FS,"$4,850,000"
Demar Dotson,TB,RT,"$4,803,125"
Tyler Eifert,CIN,TE,"$4,750,000"
Michael Johnson,CIN,DE,"$4,737,500"
Trai Turner,CAR,G,"$4,703,000"
James Carpenter,NYJ,G,"$4,606,250"
Bobby Massie,CHI,RT,"$4,600,000"
Latavius Murray,MIN,RB,"$4,600,000"
Damon Harrison,DET,DT,"$4,558,823"
Marcus Cannon,NE,RT,"$4,556,250"
Vance McDonald,PIT,TE,"$4,553,125"
Darian Stewart,DEN,SS,"$4,548,488"
Muhammad Wilkerson,GB,DE,"$4,512,500"
Demaryius Thomas,HOU,WR,"$4,508,539"
Marcus Gilchrist,OAK,FS,"$4,500,000"
Ben Jones,TEN,C,"$4,500,000"
Charles Clay,BUF,TE,"$4,500,000"
Brandon Fusco,ATL,G,"$4,500,000"
Brandon Mebane,LAC,DT,"$4,500,000"
Antoine Bethea,ARI,FS,"$4,500,000"
La'el Collins,DAL,RT,"$4,500,000"
Mike Pennel,NYJ,DE,"$4,500,000"
Seth Roberts,OAK,WR,"$4,450,000"
Cameron Meredith,NO,WR,"$4,450,000"
Austin Seferian-Jenkins,JAC,TE,"$4,406,250"
Bobby McCain,MIA,CB,"$4,405,000"
Donald Penn,OAK,RT,"$4,350,000"
Lee Smith,OAK,TE,"$4,350,000"
Brandon McManus,DEN,K,"$4,262,546"
Rex Burkhead,NE,RB,"$4,250,000"
Wesley Woodyard,TEN,ILB,"$4,250,000"
Justin Ellis,OAK,DT,"$4,250,000"
Daniel Sorensen,KC,FS,"$4,243,750"
A.J. Klein,NO,OLB,"$4,200,000"
Chad Henne,KC,QB,"$4,150,000"
Marcus Gilbert,PIT,RT,"$4,100,000"
Austin Corbett,CLE,G,"$4,064,000"
William Hayes,MIA,DE,"$4,050,000"
Marshawn Lynch,OAK,RB,"$4,031,250"
Tavon Wilson,DET,SS,"$4,003,125"
Bennie Logan,TEN,DT,"$4,000,000"
Mason Crosby,GB,K,"$4,000,000"
Chase Daniel,CHI,QB,"$4,000,000"
Mike Remmers,MIN,G,"$4,000,000"
Bilal Powell,NYJ,RB,"$4,000,000"
Isaiah Crowell,NYJ,RB,"$4,000,000"
Terrell Suggs,BAL,OLB,"$4,000,000"
Will Hernandez,NYG,G,"$3,978,723"
Vernon Davis,WAS,TE,"$3,968,750"
Nick Chubb,CLE,RB,"$3,929,524"
Greg Mancz,HOU,C,"$3,907,000"
Aaron Lynch,CHI,DE,"$3,906,250"
Dwayne Allen,NE,TE,"$3,880,000"
Stacy McGee,WAS,DT,"$3,875,000"
Shaquille Leonard,IND,OLB,"$3,831,131"
Thomas Davis,CAR,OLB,"$3,801,471"
Terrance Mitchell,CLE,CB,"$3,800,000"
Ross Cockrell,CAR,CB,"$3,800,000"
Braden Smith,IND,G,"$3,791,774"
Jameis Winston,TB,QB,"$3,767,580"
Shawn Williams,CIN,SS,"$3,750,000"
Domata Peko,DEN,DT,"$3,746,505"
Marcus Mariota,TEN,QB,"$3,736,905"
Golden Tate,PHI,WR,"$3,705,882"
Ronald Jones II,TB,RB,"$3,703,206"
Courtland Sutton,DEN,WR,"$3,664,802"
Mark Ingram,NO,RB,"$3,658,824"
Barkevious Mingo,SEA,OLB,"$3,650,000"
Alex Okafor,NO,DE,"$3,650,000"
Adam Vinatieri,IND,K,"$3,625,000"
Andy Levitre,ATL,G,"$3,625,000"
James Daniels,CHI,C,"$3,614,662"
Ed Dickson,SEA,TE,"$3,600,000"
Chris Hogan,NE,WR,"$3,500,000"
Matt Bryant,ATL,K,"$3,500,000"
Ted Ginn Jr.,NO,WR,"$3,500,000"
Cassius Marsh,SF,OLB,"$3,500,000"
Morgan Moses,WAS,RT,"$3,500,000"
Andrew Sendejo,MIN,SS,"$3,500,000"
Andre Hal,HOU,FS,"$3,500,000"
Johnson Bademosi,HOU,CB,"$3,500,000"
Abry Jones,JAC,DT,"$3,500,000"
Stephen Gostkowski,NE,K,"$3,500,000"
Harold Landry,TEN,LB,"$3,457,228"
Giovani Bernard,CIN,RB,"$3,450,000"
Virgil Green,LAC,TE,"$3,400,000"
Jason McCourty,NE,CB,"$3,382,000"
Jonathan Stewart,NYG,RB,"$3,375,000"
Steve McLendon,NYJ,DT,"$3,375,000"
Mike Gesicki,MIA,TE,"$3,368,672"
Laurent Duvernay-Tardif,KC,G,"$3,360,000"
Christian Jones,DET,OLB,"$3,350,000"
Brandon Scherff,WAS,G,"$3,328,041"
Ryan Fitzpatrick,TB,QB,"$3,300,000"
Greg Zuerlein,LAR,K,"$3,300,000"
Kerryon Johnson,DET,RB,"$3,276,186"
Malcolm Smith,SF,ILB,"$3,268,750"
Drew Stanton,CLE,QB,"$3,265,625"
Cordarrelle Patterson,NE,WR,"$3,250,000"
Matt Schaub,ATL,QB,"$3,250,000"
Kyle Juszczyk,SF,FB,"$3,250,000"
Cole Beasley,DAL,WR,"$3,250,000"
Cody Davis,JAC,FS,"$3,250,000"
Corey Liuget,LAC,DT,"$3,227,500"
Dante Pettis,SF,WR,"$3,214,951"
Darius Slay,DET,CB,"$3,210,644"
Lerentee McCray,JAC,OLB,"$3,203,125"
Theo Riddick,DET,RB,"$3,162,500"
Chris Ivory,BUF,RB,"$3,156,250"
HaHa Clinton-Dix,WAS,FS,"$3,153,705"
Josh Jackson,GB,CB,"$3,109,892"
Jarius Wright,CAR,WR,"$3,100,000"
Brock Coyle,SF,OLB,"$3,075,000"
Tramaine Brock,DEN,CB,"$3,055,693"
Lorenzo Alexander,BUF,OLB,"$3,050,000"
Earl Mitchell,SF,DT,"$3,006,250"
Chris Long,PHI,DE,"$3,000,000"
Lawrence Guy,NE,DT,"$3,000,000"
Brett Kern,TEN,P,"$3,000,000"
Xavier Williams,KC,DT,"$3,000,000"
Jordan Poyer,BUF,FS,"$3,000,000"
Brooks Reed,ATL,DE,"$3,000,000"
Sam Acho,CHI,OLB,"$3,000,000"
Dustin Colquitt,KC,P,"$3,000,000"
Ricky Wagner,DET,RT,"$3,000,000"
Phil Dawson,ARI,K,"$3,000,000"
Tyson Alualu,PIT,DE,"$3,000,000"
Mitch Unrein,TB,DE,"$3,000,000"
Bryan Anger,TB,P,"$3,000,000"
