Name,Team,POS,Salary
Ty Sambrailo,ATL,RT,"$5,227,353"
A.J. Cann,JAC,G,"$5,105,000"
Margus Hunt,IND,DT,"$5,100,000"
Eric Rowe,MIA,CB,"$5,100,000"
Vince Williams,PIT,ILB,"$5,100,000"
Kyle Van Noy,NE,ILB,"$5,093,750"
Micah Hyde,BUF,SS,"$5,058,716"
Vance McDonald,PIT,TE,"$5,006,250"
Shaquil Barrett,TB,OLB,"$5,000,000"
Todd Gurley,LAR,RB,"$5,000,000"
Brian Hoyer,IND,QB,"$5,000,000"
Shamar Stephen,MIN,DT,"$5,000,000"
Morgan Moses,WAS,RT,"$5,000,000"
Alejandro Villanueva,PIT,LT,"$5,000,000"
Randall Cobb,DAL,WR,"$4,975,066"
Marcus Gilbert,ARI,RT,"$4,915,000"
Denico Autry,IND,DT,"$4,906,250"
Delanie Walker,TEN,TE,"$4,848,750"
Shaq Mason,NE,G,"$4,812,500"
Demar Dotson,TB,RT,"$4,803,125"
Kareem Martin,NYG,OLB,"$4,775,000"
Vernon Davis,WAS,TE,"$4,762,500"
Tramon Williams,GB,CB,"$4,750,000"
Johnathan Hankins,OAK,DT,"$4,750,000"
Josh Lambo,JAC,K,"$4,750,000"
Justin Britt,SEA,C,"$4,750,000"
Markus Golden,NYG,OLB,"$4,750,000"
Isaac Seumalo,PHI,G,"$4,749,000"
A.J. Klein,NO,ILB,"$4,675,000"
Jesse Davis,MIA,T,"$4,645,000"
Melvin Gordon,LAC,RB,"$4,615,882"
Kyle Juszczyk,SF,FB,"$4,600,000"
Jordan Phillips,BUF,DT,"$4,533,749"
Sean Lee,DAL,OLB,"$4,524,196"
Rhett Ellison,NYG,TE,"$4,500,000"
Byron Murphy,ARI,CB,"$4,485,293"
Eric Kendricks,MIN,ILB,"$4,484,375"
Danny Amendola,DET,WR,"$4,484,375"
Darqueze Dennard,CIN,CB,"$4,417,540"
Darryl Roberts,NYJ,CB,"$4,406,250"
Latavius Murray,NO,RB,"$4,400,000"
Jon Feliciano,BUF,G,"$4,315,014"
Jason Witten,DAL,TE,"$4,304,482"
Dion Lewis,TEN,RB,"$4,300,000"
Christian Jones,DET,ILB,"$4,299,117"
Rock Ya-Sin,IND,CB,"$4,272,420"
Ramon Foster,PIT,G,"$4,250,000"
Aqib Talib,MIA,CB,"$4,235,294"
Devon Kennard,DET,OLB,"$4,225,000"
Jawaan Taylor,JAC,RT,"$4,219,308"
Jimmie Ward,SF,FS,"$4,218,750"
Barkevious Mingo,HOU,OLB,"$4,200,000"
Josh Hill,NO,TE,"$4,150,000"
Harrison Butker,KC,K,"$4,145,000"
Wesley Woodyard,TEN,ILB,"$4,131,250"
Cody Ford,BUF,RT,"$4,122,727"
Deebo Samuel,SF,WR,"$4,113,076"
Kyle Long,CHI,G,"$4,110,809"
Greg Little,CAR,T,"$4,108,212"
Shawn Williams,CIN,SS,"$4,106,308"
Brett Kern,TEN,P,"$4,100,000"
Patrick Robinson,NO,CB,"$4,100,000"
B.W. Webb,CIN,CB,"$4,047,533"
Corey Peters,ARI,DT,"$4,042,135"
Todd Davis,DEN,ILB,"$4,032,959"
Tyler Eifert,CIN,TE,"$4,026,482"
Beau Allen,TB,DT,"$4,000,000"
Breshad Perriman,TB,WR,"$4,000,000"
Tyler Higbee,LAR,TE,"$4,000,000"
Rodney McLeod,PHI,FS,"$4,000,000"
Abry Jones,JAC,DT,"$4,000,000"
Travis Benjamin,LAC,WR,"$4,000,000"
Nick Easton,NO,G,"$4,000,000"
Mychal Kendricks,SEA,OLB,"$4,000,000"
Joey Bosa,LAC,DE,"$3,978,230"
Angelo Blackson,HOU,DE,"$3,968,750"
Morgan Burnett,CLE,SS,"$3,909,291"
Brennan Scarlett,HOU,OLB,"$3,907,285"
Sean Bunting,TB,CB,"$3,879,360"
Jeff Heuerman,DEN,TE,"$3,875,000"
Adam Vinatieri,IND,K,"$3,875,000"
Bruce Irvin,CAR,OLB,"$3,848,774"
Allen Hurns,MIA,WR,"$3,800,000"
Trayvon Mullen,OAK,CB,"$3,794,380"
Spencer Long,BUF,C,"$3,789,823"
