Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Breno Giacomini,RT,"$5,000,000 ",NYJ,New York Jets,AFC East
2016,Marcus Gilchrist,SS,"$5,000,000 ",NYJ,New York Jets,AFC East
2016,Matt Forte,RB,"$5,000,000 ",NYJ,New York Jets,AFC East
2016,Mike Mitchell,FS,"$5,000,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Antoine Bethea,SS,"$5,000,000 ",SF,San Francisco 49ers,NFC West
2016,Sean Lee,OLB,"$5,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Orlando Scandrick,CB,"$5,000,000 ",DAL,Dallas Cowboys,NFC East
2016,Elvis Dumervil,OLB,"$5,000,000 ",BAL,Baltimore Ravens,AFC North
2016,Akiem Hicks,DE,"$5,000,000 ",CHI,Chicago Bears,NFC North
2016,Rodger Saffold,G,"$4,968,750 ",LAR,Los Angeles Rams,NFC West
2016,Patrick Chung,SS,"$4,965,000 ",NE,New England Patriots,AFC East
2016,Jabaal Sheard,OLB,"$4,952,389 ",NE,New England Patriots,AFC East
2016,Kelvin Beachum,LT,"$4,937,500 ",JAC,Jacksonville Jaguars,AFC South
2016,Paul Posluszny,OLB,"$4,937,500 ",JAC,Jacksonville Jaguars,AFC South
2016,Eric Wood,C,"$4,925,000 ",BUF,Buffalo Bills,AFC East
2016,Robert Nkemdiche,DE,"$4,904,982 ",ARI,Arizona Cardinals,NFC West
2016,Nick Perry,OLB,"$4,875,000 ",GB,Green Bay Packers,NFC North
2016,Kenny Britt,WR,"$4,850,000 ",LAR,Los Angeles Rams,NFC West
2016,Derrick Morgan,OLB,"$4,812,500 ",TEN,Tennessee Titans,AFC South
2016,Shareece Wright,CB,"$4,760,000 ",BAL,Baltimore Ravens,AFC North
2016,Vernon Butler,DT,"$4,756,556 ",CAR,Carolina Panthers,NFC South
2016,Derek Newton,RT,"$4,750,000 ",HOU,Houston Texans,AFC South
2016,Glover Quin,FS,"$4,750,000 ",DET,Detroit Lions,NFC North
2016,Golden Tate,WR,"$4,750,000 ",DET,Detroit Lions,NFC North
2016,Tahir Whitehead,OLB,"$4,750,000 ",DET,Detroit Lions,NFC North
2016,Tyson Jackson,DE,"$4,750,000 ",ATL,Atlanta Falcons,NFC South
2016,Kyle Williams,DT,"$4,750,000 ",BUF,Buffalo Bills,AFC East
2016,Whitney Mercilus,OLB,"$4,734,375 ",HOU,Houston Texans,AFC South
2016,James Carpenter,G,"$4,700,000 ",NYJ,New York Jets,AFC East
2016,Germain Ifedi,RT,"$4,660,986 ",SEA,Seattle Seahawks,NFC West
2016,Theo Riddick,RB,"$4,650,000 ",DET,Detroit Lions,NFC North
2016,Jerrell Freeman,ILB,"$4,647,059 ",CHI,Chicago Bears,NFC North
2016,Trent Cole,OLB,"$4,625,000 ",IND,Indianapolis Colts,AFC South
2016,Vincent Rey,ILB,"$4,500,000 ",CIN,Cincinnati Bengals,AFC North
2016,Lance Kendricks,TE,"$4,500,000 ",LAR,Los Angeles Rams,NFC West
2016,Mike Iupati,G,"$4,500,000 ",ARI,Arizona Cardinals,NFC West
2016,Austin Howard,RT,"$4,500,000 ",OAK,Oakland Raiders,AFC West
2016,T.J. Ward,SS,"$4,500,000 ",DEN,Denver Broncos,AFC West
2016,Terrell Suggs,OLB,"$4,500,000 ",BAL,Baltimore Ravens,AFC North
2016,Eddie Royal,WR,"$4,500,000 ",CHI,Chicago Bears,NFC North
2016,Tracy Porter,CB,"$4,500,000 ",CHI,Chicago Bears,NFC North
2016,King Dunlap,LT,"$4,475,000 ",SD,San Diego Chargers,AFC West
2016,Sen'Derrick Marks,DT,"$4,475,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Gosder Cherilus,RT,"$4,437,500 ",TB,Tampa Bay Buccaneers,NFC South
2016,Morgan Burnett,SS,"$4,381,250 ",GB,Green Bay Packers,NFC North
2016,Josh McCown,QB,"$4,375,000 ",CLE,Cleveland Browns,AFC North
2016,Corey Graham,FS,"$4,375,000 ",BUF,Buffalo Bills,AFC East
2016,Carlos Dunlap,DE,"$4,350,000 ",CIN,Cincinnati Bengals,AFC North
2016,Ramon Foster,G,"$4,337,019 ",PIT,Pittsburgh Steelers,AFC North
2016,Koa Misi,OLB,"$4,300,000 ",MIA,Miami Dolphins,AFC East
