Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Kevin Zeitler ,G,"$6,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Calais Campbell ,DE,"$6,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Austin Hooper ,TE,"$6,000,000 ",TEN,Tennessee Titans,AFC South
2022,Josey Jewell ,ILB,"$6,000,000 ",DEN,Denver Broncos,AFC West
2022,Gabe Jackson ,G,"$6,000,000 ",SEA,Pittsburgh Steelers,NFC West
2022,David Andrews ,C,"$6,000,000 ",NE,New England Patriots,AFC East
2022,Marvin Jones ,WR,"$6,000,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Malcom Brown ,DT,"$6,000,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Casey Hayward ,CB,"$6,000,000 ",ATL,Atlanta Falcons,NFC South
2022,Dean Lowry ,DE,"$5,950,000 ",GB,Green Bay Packers,NFC North
2022,Matthew Ioannidis ,DE,"$5,900,000 ",CAR,Carolina Panthers,NFC South
2022,Chidobe Awuzie ,CB,"$5,802,941 ",CIN,Cincinnati Bengals,AFC North
2022,Aaron Jones ,RB,"$5,730,941 ",GB,Green Bay Packers,NFC North
2022,Jonathan Jones ,CB,"$5,682,348 ",NE,New England Patriots,AFC East
2022,Isaac Seumalo ,G,"$5,650,000 ",PHI,Philadelphia Eagles,NFC East
2022,Rashaad Penny ,RB,"$5,630,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Mason Cole ,C,"$5,600,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Bobby McCain ,CB,"$5,580,000 ",WAS,Washington Commanders,NFC East
2022,Andrew Norwell ,G,"$5,580,000 ",WAS,Washington Commanders,NFC East
2022,Matt Pryor ,T,"$5,545,000 ",IND,Indianapolis Colts,AFC South
2022,Quinton Jefferson ,DT,"$5,515,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Morgan Moses ,RT,"$5,500,000 ",BAL,Baltimore Ravens,AFC North
2022,Tyrod Taylor ,QB,"$5,500,000 ",NYG,New  York Giants,NFC East
